|metroId|metropolitanAreas|lat|long|CDD|URB_AREA|URB_AREA_CORE|FRAGMENTATION|POP_DEN|PWM_EX_CORE|T_Y0_14_SH_NAT|T_Y15_64_SH_NAT|T_Y65_MAX_SH_NAT|CONSTR_RAT|TREECOVER_SHARE_CORE|CITY_REL_ROADS|CITY_REL_WATER|CITY_EVAPOTRANS
216|FR042|Dunkerque|51.0347708|2.3772525|4.0|93.0|50.0|6.9873217115689386|298.0|13.2|2.806379585326946|2.8395534290271063|2.652950558213709|0.10966981132075472|5.0|0.2670883213985028|0.001147323599785958|0.49144406007045843
217|FR043|Perpignan|42.6985304|2.8953121|22.0|175.0|35.0|28.0|236.0|10.7|0.6|0.6|0.8|0.1041046995835812|0.0|0.5294522031496265|0.002274352560424759|0.9741951237953309
218|FR044|Nimes|43.8374249|4.3600687|94.0|133.0|39.0|6.9873217115689386|229.0|12.4|2.806379585326946|2.8395534290271063|2.652950558213709|0.09216909216909216|16.2|0.4544910940778768|0.0019523442859565303|0.8362662484453673
219|FR045|Pau|43.2957547|-0.36856679999999997|29.0|63.0|20.0|6.9873217115689386|130.0|11.9|2.806379585326946|2.8395534290271063|2.652950558213709|0.028493894165535955|22.8|0.6963824040236907|0.002991429810290983|1.2813476613393673
220|FR046|Bayonne|43.49333789999999|-1.475099|15.0|55.0|27.0|6.9873217115689386|213.0|10.1|2.806379585326946|2.8395534290271063|2.652950558213709|0.046218487394957986|13.4|0.37480554535874805|0.001610041372341144|0.6896443767498178
221|FR048|Annecy|45.8992348|6.1288847|1.0|90.0|26.0|6.9873217115689386|218.0|13.8|2.806379585326946|2.8395534290271063|2.652950558213709|0.07081038552321008|24.3|0.4003175194545956|0.0017196324237357934|0.7365865570159819
223|FR203|Marseille|43.2961743|5.3699525|33.0|291.0|132.0|3.3|1079.0|16.0|1.8|1.9|2.0|0.2519480519480519|11.5|0.36378185284819664|0.0015626872143311105|0.6693607186101173
225|FR207|Lens - Lievin|50.4245|2.7738|6.0|111.0|59.0|6.9873217115689386|945.0|13.3|2.806379585326946|2.8395534290271063|2.652950558213709|0.346875|1.4|0.10078804581075579|0.00043295230180602197|0.18545058870583336
226|FR214|Valence|39.4697065|-0.3763353|12.0|85.0|26.0|6.9873217115689386|200.0|13.7|2.806379585326946|2.8395534290271063|2.652950558213709|0.06967213114754098|0.5|0.38425442465350645|0.0016506306506354589|0.7070303694409897
227|FR215|Rouen|49.4404591|1.0939658|2.0|250.0|75.0|6.9873217115689386|256.0|13.0|2.806379585326946|2.8395534290271063|2.652950558213709|0.09197939661515821|15.4|0.856068464105107|0.0036773886134648993|1.5751709378201724
240|IT005|Palermo|38.1112268|13.3524434|183.0|130.0|75.0|3.0|685.0|16.1|1.8|1.7|1.5|0.08718980549966465|11.6|0.8112786753098445|0.005047137131471804|0.7379901635710208
242|IT007|Florence|43.769871200000004|11.2555757|23.0|119.0|42.0|3.4|430.0|15.4|1.2|1.3|1.5|0.0642548596112311|4.7|1.0077049675880831|0.006269146859480737|0.9166718866086722
243|IT008|Bari|41.1257843|16.8620293|224.0|113.0|62.0|2.9|649.0|13.2|1.2|1.2|1.1|0.1002661934338953|16.1|0.6132200315722299|0.0038149721979669504|0.5578235508682363
244|IT009|Bologna|44.4937577|11.343030800000001|74.0|185.0|59.0|4.5|379.0|18.2|1.2|1.2|1.4|0.09108813392417528|5.9|1.1051019379975144|0.006875074120737245|1.0052703032949315
245|IT010|Catania|37.5022355|15.08738|232.0|105.0|48.0|3.3|1047.0|12.6|1.2|1.1|0.9|0.1721311475409836|2.6|0.33191146340644206|0.0020648917841702215|0.30192756524367714
246|IT011|Venice|45.437190799999996|12.3345898|66.0|215.0|75.0|2.8|813.0|24.2|0.8|0.9|0.9|0.32526475037821484|0.5|0.35966143821583313|0.002237530277600846|0.32717068955093537
247|IT012|Verona|45.4384958|10.992412199999999|24.0|127.0|52.0|4.0|691.0|23.9|0.9|0.8|0.8|0.17349726775956284|7.9|0.3982937560877305|0.0024778701410042656|0.3623130782924126
248|IT016|Perugia|43.1070321|12.402996209906487|13.0|77.0|38.0|6.9873217115689386|218.0|12.5|2.806379585326946|2.8395534290271063|2.652950558213709|0.05873379099923722|14.9|0.7133375877472878|0.0044378248017166565|0.6488967836630504
249|IT022|Taranto|40.54881555|17.080580124547428|295.0|105.0|47.0|5.1|392.0|10.8|0.7|0.7|0.6|0.09971509971509972|1.5|0.5729553622409566|0.0035644771290676116|0.5211962724616263
250|IT027|Cagliari|39.216952500000005|9.1128513|153.0|97.0|27.0|6.6|249.0|12.9|0.7|0.8|0.7|0.049794661190965095|2.3|1.0599402142881134|0.0065941134353501496|0.9641883558929231
251|IT028|Padua|45.4077172|11.8734455|60.0|204.0|57.0|5.8|866.0|25.7|0.9|0.9|0.9|0.3322475570032573|0.0|0.3340879320189433|0.00207843205816478|0.3039074181305209
252|IT029|Brescia|45.77958045|10.4258729694612|37.0|131.0|41.0|6.9873217115689386|790.0|25.7|2.806379585326946|2.8395534290271063|2.652950558213709|0.21724709784411278|16.5|0.32810264333456485|0.0020411963046797436|0.2984628226917005
253|IT030|Modena|44.538472799999994|10.93596087053074|129.0|80.0|36.0|6.9873217115689386|528.0|20.9|2.806379585326946|2.8395534290271063|2.652950558213709|0.11560693641618497|0.2|0.37652906996271784|0.002342467401058677|0.3425145494239747
254|IT032|Salerno|40.41944165|15.310756230322482|31.0|82.0|25.0|6.9873217115689386|676.0|15.2|2.806379585326946|2.8395534290271063|2.652950558213709|0.21866666666666668|23.1|0.2040439324219931|0.0012694006869898903|0.1856112081416048
255|IT501|Messina|38.1937571|15.5542082|90.0|41.0|31.0|6.9873217115689386|784.0|11.2|2.806379585326946|2.8395534290271063|2.652950558213709|0.12166172106824925|17.0|0.1833674806032311|0.0011407680840415813|0.16680260571658884
256|IT502|Prato|43.93571805000001|11.094147267700892|28.0|57.0|36.0|3.2|681.0|19.9|0.5|0.5|0.5|0.13902439024390245|18.2|0.22308803278137912|0.0013878780844422801|0.20293492090148793
257|IT503|Parma|44.801367799999994|10.328083300000001|79.0|93.0|37.0|6.2|280.0|20.8|0.5|0.5|0.6|0.07711442786069651|0.0|0.6562052866691297|0.004082392609359487|0.596925645383401
258|IT505|Reggio nell'Emilia|44.608664000000005|10.594796841892736|81.0|58.0|33.0|4.6|409.0|20.3|0.5|0.5|0.4|0.08393632416787265|0.0|0.3759849528095926|0.002339082332560038|0.3420195862022638
259|IT508|Rimini|43.9470982|12.630768610516007|53.0|65.0|33.0|4.0|701.0|18.0|0.4|0.4|0.4|0.18207282913165265|0.0|0.19424982366573743|0.0012084694540143756|0.17670187015080777
260|IT511|Bergamo|45.7566557|9.754219200862249|10.0|73.0|21.0|6.9873217115689386|1640.0|23.3|2.806379585326946|2.8395534290271063|2.652950558213709|0.3924731182795699|19.5|0.10120579048130857|0.0006296227407469855|0.09206315923823598
266|JPN06|Sendai|38.2677554|140.8691498|87.0|276.0|189.0|1.0|803.0|11.1|1.3|1.3|1.0|0.14465408805031446|51.3|1.6541234567901235|0.007735861600493827|1.2039506172839505
268|JPN08|Hiroshima|34.391605799999994|132.4518156|73.0|210.0|194.0|0.5|770.0|12.7|1.3|1.2|1.0|0.11081794195250659|70.3|1.6428532235939644|0.00768315394807956|1.1957475994513032
269|JPN09|Kitakyushu|33.882999600000005|130.8749015|166.0|316.0|208.0|0.9|1347.0|13.6|1.1|1.1|1.1|0.3107177974434612|30.9|0.881679012345679|0.004123360192716049|0.6417283950617284
271|JPN11|Kumamoto|32.6450475|130.6341345|165.0|235.0|161.0|1.4|575.0|17.3|1.1|0.9|0.9|0.11463414634146342|12.9|1.7772290809327846|0.008311591342249656|1.2935528120713307
272|JPN12|Yokkaichi|34.96484279999999|136.624845|157.0|376.0|280.0|0.7|529.0|13.3|0.9|0.9|0.8|0.18314661471018023|41.3|1.779829903978052|0.008323754646652949|1.295445816186557
273|JPN13|Takasaki|36.3220984|139.0032758|82.0|310.0|230.0|1.0|609.0|13.7|0.9|0.9|0.8|0.17474633596392333|41.3|1.5379533607681755|0.007192567337146775|1.1193964334705075
